id	filing_type	contract_number	url	committee	agency	callsign	dc_slug	thumbnail_url	gross_amount	market_id	upload_date
23969	Federal	314271	/collect/files/59438/Political File/2012/Federal/US Senate/STATE OF OHIO/JOSH MANDEL/NRSC_Mandel_REP_Senate_1010_101412_314271 (13498032920836)_.pdf	NRSC-MANDEL/REPUBLICAN	STRATEGIC MEDIA SERVICES	WCPO-TV	459790-nrsc_mandel_rep_senate_1010_101412_314271	https://s3.amazonaws.com/s3.documentcloud.org/documents/459790/pages/nrsc_mandel_rep_senate_1010_101412_314271-p1-thumbnail.gif	21100	35	2012-10-10 00:00:00 UTC
2333	Non-Candidate Issue Ads	9792042	/collect/files/11289/Political File/2012/Non-Candidate Issue Ads/60 Plus Association/order 49396/60 plus assoc order 49396 (13449777974268)_.pdf	60+ ASSOCIATION	MENTZER MEDIA SERVICES	WKRC-TV	416491-collect-files-11289-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/416491/pages/collect-files-11289-political-file-2012-non-p1-thumbnail.gif	6250	35	2012-08-14 00:00:00 UTC
31990	Federal	336298	/collect/files/73910/Political File/2012/Federal/President/Randall Terry/101612 Terry contract 2 (13504017232906)_.pdf	POL/R TERRY/D/PRES/US	KATHLEEN OFFERMAN	WPXI	470297-101612-terry-contract-2-13504017232906-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/470297/pages/101612-terry-contract-2-13504017232906-_-pdf-p1-thumbnail.gif	30	23	2012-10-16 00:00:00 UTC
33211	Federal	116252	/collect/files/73123/Political File/2012/Federal/US House/MI-13/SHANELLE M JACKSON/116252-0 (13442821773323)_.pdf	COMMITTEE TO ELECT SHANELLE JACKSON	SHANELLE JACKSON FOR CONGRESS	WJBK	473630-116252-0-13442821773323-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/473630/pages/116252-0-13442821773323-_-pdf-p1-thumbnail.gif	1170	11	2012-08-06 00:00:00 UTC
6213	Non-Candidate Issue Ads	48982	/collect/files/72313/Political File/2012/Non-Candidate Issue Ads/PRIORITIES USA/48982/48982-1 (13448907119868)_.pdf	PRIORITIES USA ACTION	MUNDY KATOWITZ MEDIA	WHP-TV	420426-collect-files-72313-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/420426/pages/collect-files-72313-political-file-2012-non-p1-thumbnail.gif	9335	41	2012-08-13 00:00:00 UTC
5548	Federal	944723	/collect/files/65684/Political File/2012/Federal/US Senate/Massachusetts/Elizabeth Warren/State Senator/Warren 8-23-12 --1 (13457552287270)_.pdf	WARREN/D/SENATE	MEDIA STRATEGIES - VA	WCVB-TV	419754-collect-files-65684-political-file-2012-federal	https://s3.amazonaws.com/s3.documentcloud.org/documents/419754/pages/collect-files-65684-political-file-2012-federal-p1-thumbnail.gif	117225	7	2012-08-23 00:00:00 UTC
39204	State	198565	/collect/files/72326/Political File/2012/State/Pennsylvania/ROB TEPLITZ FOR STATE SENATE/TEPLITZ C198565 10-16 to 10-22 2012/Political - Teplitz 10-16 to 10-22 2012  C198565 (13509150055169)_.pdf	TEPLITZ	BUYING TIME MEDIA	WHTM-TV	479905-political-teplitz-10-16-to-10-22-2012-c198565	https://s3.amazonaws.com/s3.documentcloud.org/documents/479905/pages/political-teplitz-10-16-to-10-22-2012-c198565-p1-thumbnail.gif	11000	41	2012-10-22 00:00:00 UTC
52190	Federal		/collect/files/72076/Political File/2012/Federal/US Senate/FL US SENATE/BILL NELSON 1/6282852/NELSON 6282852 INVOICE (13522377110263)_.pdf			WFTV	506882-nelson-6282852-invoice-13522377110263-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/506882/pages/nelson-6282852-invoice-13522377110263-_-pdf-p1-thumbnail.gif		19	2012-11-06 00:00:00 UTC
52191	Federal		/collect/files/72076/Political File/2012/Federal/US Senate/FL US SENATE/BILL NELSON 1/6286507/NELSON-DSCC 6286507 INVOICE (13522380094251)_.pdf			WFTV	506883-nelson-dscc-6286507-invoice-13522380094251-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/506883/pages/nelson-dscc-6286507-invoice-13522380094251-_-pdf-p1-thumbnail.gif		19	2012-11-06 00:00:00 UTC
52194	Federal		/collect/files/72076/Political File/2012/Federal/US Senate/FL US SENATE/BILL NELSON 1/6312696/NELSON 6312696 INVOICE (13522377078519)_.pdf			WFTV	506886-nelson-6312696-invoice-13522377078519-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/506886/pages/nelson-6312696-invoice-13522377078519-_-pdf-p1-thumbnail.gif		19	2012-11-06 00:00:00 UTC
