slug,page,x0,y0,x1,y1,token,gross_amount
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,423,25.145,439.448,25.189,Print,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,441.672,25.145,458.568,25.189,Date,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,474.001,25.145,505.137,25.189,10/9/12,0.4
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,533.251,25.145,551.931,25.189,Page,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,560.251,25.145,564.699,25.189,1,0.25
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,568.503,25.145,575.175,25.189,of,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,580.502,25.145,584.95,25.189,3,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,122.25,39.901,153.36,39.97,WCPO,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,276.465,38.615,334.241,38.727,ORDER,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,198,59.061,222.45,59.115,Flight,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,225.23,59.061,335.421,59.47,Dates10/10/12-10/14/12,0.28
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,378,77.061,403.56,77.115,Order,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,406.34,77.061,424.13,77.115,Sep,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,450,77.061,488.92,77.115,0:20:00,0.53
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,198,101.061,232.46,101.115,Product,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,378,101.061,416.9,101.115,Estimate,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,419.68,101.061,425.24,101.115,#,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,18,122.061,55.79,122.115,Contract,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,58.57,122.061,61.35,122.115,/,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,64.13,122.061,102.47,122.115,Revision,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,132.659,122.401,166.019,122.47,314271,0.59
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,176.25,119.061,179.03,119.115,/,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,198,119.401,226.33,119.47,NRSC,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,229.11,119.401,236.33,119.47,&,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,239.11,119.401,291.33,119.47,Authorized,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,294.11,119.401,305.78,119.47,by,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,308.56,119.401,331.9,119.47,Josh,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,334.68,119.401,369.13,119.47,Mandel,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,371.91,119.061,386.89,119.47,foArl,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,386.89,119.061,395.24,119.47,tU,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,392.45,119.061,403.56,119.47,OSr,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,403.56,119.061,423.03,119.47,dSeern,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,420.79,119.061,437.48,119.47,#ate,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,18.751,140.061,53.201,140.115,Original,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,55.981,140.061,77.101,140.115,Date,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,79.881,140.061,82.661,140.115,/,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,85.441,140.061,123.781,140.115,Revision,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,198,143.061,231.35,143.115,Agency,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,234.13,143.061,255.24,143.115,Com,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,270,143.061,290.01,143.115,15%,0.2
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,378,138.561,404.67,138.615,Billing,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,407.45,138.561,429.68,138.615,Type,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,450,138.561,473.34,138.615,Cash,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,91.5,156.561,130.42,156.615,10/9/12,0.4
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,143.252,156.561,182.172,156.615,10/9/12,0.4
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,378,156.561,403.56,156.615,Order,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,406.34,156.561,428.57,156.615,Type,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,450,156.561,497.79,156.615,GENERAL,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,198,161.061,224.67,161.115,Billing,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,227.45,161.061,261.91,161.115,Contact,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,378,173.811,404.67,173.865,Billing,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,407.45,173.811,432.45,173.865,Cycle,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,450,173.811,497.23,173.865,EOM/EOC,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,18,178.311,92.081,178.72,AdvertiserNRSC,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,94.861,178.651,98.191,178.72,-,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,100.971,178.651,135.421,178.72,Mandel,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,138.201,178.651,140.981,178.72,/,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,143.761,178.651,197.661,178.72,Republican,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,200.441,178.651,203.221,178.72,/,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,206.001,178.651,219.891,178.72,US,0
459790-nrsc_mandel_rep_senate_1010_101412_314271,0,222.671,178.651,255.461,178.72,Senate,0
